kab_kota,tahun,Intercept,X1_Produksi_Perikanan_Tangkap_Laut,X5_Persentase_Penduduk_Miskin,X8_PDRB_per_Kapita_ADHB,X12_Kepadatan_Penduduk,X13a_Jumlah_Pelabuhan_Utama,X13b_Kunjungan_Kapal_Tahunan,X13c_Jarak_ke_Pelabuhan_Induk,X17_TPT,X27_Volume_Wacana_Digital,X9_Pangsa_Pengeluaran_Pangan,local_R2,local_condition_number
Halmahera Barat,2023,33.442805795861645,1.0382014751671351,1.1242426718973746,-2.521505329362168,-1.0701306642991264,-0.7486109643509757,-0.5778584479389764,3.034423066951719,-0.3566368552641014,0.10938240323282367,0.4220723061447359,0.6200380344742885,8.991385409513368
Halmahera Barat,2024,32.49158816562354,1.2774967202953686,0.9483215532065725,-2.142687665189595,-1.238725903788379,-1.4857710166590352,-0.12785716639102862,2.412431149804513,-1.175127141458583,1.1719400936082023,0.6879045885705806,0.6440558735781903,9.327331797251897
Halmahera Barat,2025,31.62163084077265,1.0268449471649372,0.34660294070680875,-2.0861633989340778,-0.8973697035300369,-1.11953639555293,-0.6223763603961887,1.384454355571675,-1.186346497428729,0.7713294116571427,0.7024994489901264,0.6420689433855618,8.58199238347661
Halmahera Selatan,2020,33.10397875347345,1.3814176314118325,-0.5717497735180214,-4.0191266808113255,1.1980204680211128,0.25832660239719696,-3.862824825593599,1.1357023451099022,0.9021059991241654,-2.6371939004405385,2.0411161168185314,0.6187686054414276,6.820301128296752
Halmahera Selatan,2021,33.4526115804313,1.4689795050564607,-0.0678532043636258,-3.8814575288355218,0.7557092843904945,-0.053812980645681505,-3.0284234311822966,1.960706173954557,0.7832604125428902,-2.3602269144795645,1.4791293669714523,0.6234609646717026,7.121123829039381
Halmahera Selatan,2022,34.02919948650179,1.5631028001470955,0.8050624165306223,-3.3996284009031585,-0.3922700044887121,-0.623884101716399,-1.3978560315169417,3.4421821038329723,0.29947836860413574,-1.166524424745677,0.4724688272242473,0.6323128014772461,8.280870888465767
Halmahera Selatan,2023,33.18400696441969,1.985246501920889,0.8266216435505793,-2.600103563874223,-1.022324800467176,-1.6477308932528902,-0.377816217878876,3.2981626742501504,-0.7604725176766358,0.490923768101576,0.35406647053580154,0.6404754575355454,9.303013344432742
Halmahera Selatan,2024,31.929303882549007,1.6444813444399125,0.2201532809050999,-2.2688976138974972,-0.8001325508308328,-1.4301723523498875,-0.6780492396685762,1.8605809385963379,-1.2248152077746883,0.6780475715086468,0.5103709642172101,0.6405330784523176,9.119620188779738
Halmahera Selatan,2025,31.38366293939722,1.1347003588806934,-0.14027488636871333,-2.20264779929216,-0.5047088752805744,-0.8690870466019978,-1.133525396633965,0.9979412387947397,-1.027798586275368,0.1856138187575641,0.5320830796915834,0.6339417451110374,8.451620801703873
Halmahera Tengah,2020,33.20781876511797,1.0566280455806667,-0.2598951999870801,-3.867957719800767,0.8586935069292142,0.5109371688358906,-3.482758499141821,1.2464571199281853,0.7581066447113933,-2.3800580239289446,1.843747425337143,0.6138755800642274,6.653233807782161
Halmahera Tengah,2021,33.71881244033863,0.7140040389372805,0.43909877595208485,-3.663558218084829,0.1059977662014311,0.6327086278949234,-2.4901377173546035,2.1837437188417357,0.5833203262697826,-1.8879618963881044,1.1506211170454617,0.6191256186281396,6.975158735006945
Halmahera Tengah,2022,33.95185008806033,0.6477301635011947,1.05175118490581,-3.112221785602735,-0.7904233107857946,0.26176989028754416,-1.2762709927676743,3.0789542541827952,0.24253672156734737,-0.9095879847128101,0.45908429217270946,0.619425302010948,8.22840773831129
Halmahera Tengah,2023,33.094514013431144,1.1362481182509447,0.9873752516434013,-2.492623255581902,-1.146883668844639,-0.8066502397258077,-0.5090002269656471,2.831745858569482,-0.5277217965333022,0.33768974510308636,0.4772758856795478,0.6248924833057012,8.829220985716606
Halmahera Tengah,2024,31.985380722382573,1.1281501444495925,0.5993505625124165,-2.1504516195261054,-1.1056794267487828,-1.1315176047997069,-0.4197729891138906,1.822405811065997,-1.144119610483904,0.9374896008983964,0.7008627511655963,0.6411939108888796,8.798796491839932
Halmahera Tengah,2025,31.362386133224017,0.9042262667477132,0.12241548651748113,-2.1156054687273187,-0.7294678973552102,-0.8130426277618554,-0.8991908460727308,0.9839928708765615,-1.0421566998828085,0.4520221127363926,0.6740134929734238,0.6384314200894727,8.33122798010735
Halmahera Timur,2020,33.32586678880569,0.8933511820161859,-0.07769923514891736,-3.792072622338603,0.6648509867181932,0.6163887841010084,-3.24919622794507,1.3849968582950087,0.6972153772049398,-2.259048730141348,1.7082476991973332,0.6128696021694356,6.601967449987066
Halmahera Timur,2021,34.01573819440286,0.4081559754936775,0.7568318382832765,-3.6028147833828426,-0.21645617376728427,0.8722102926456357,-2.181008225907376,2.4892608100261597,0.4888098444040773,-1.6671960104566967,0.9257299489203409,0.6217936540763626,7.45023094023276
Halmahera Timur,2022,34.03828482093203,0.4913367792583592,1.1885146936065054,-3.042408567931141,-0.8966234534348988,0.3572628350990441,-1.1824543634977012,3.1061073408071325,0.20669005815758865,-0.8248990462530086,0.4091513288460017,0.6177425560508103,8.468570078120617
Halmahera Timur,2023,33.188059444103565,0.9712888778299698,1.0870503251375179,-2.479675996696207,-1.1706491149179303,-0.6730209387939691,-0.5168708126828682,2.823460457236744,-0.4658544875088956,0.29122478991100603,0.47357838289756626,0.6216744743937812,8.97830468194725
Halmahera Timur,2024,32.14554279862799,1.0098635069666226,0.8093308955550005,-2.112870144164983,-1.236793180951722,-1.1371721765742544,-0.25989133378554885,1.9683939765711358,-1.1470460237194124,1.0995368150321814,0.7545603526337012,0.6429759441424069,8.916983137571853
Halmahera Timur,2025,31.41828040579606,0.8346621009897747,0.24325680398890626,-2.087188274514154,-0.8367780676112349,-0.828945472700769,-0.7830750392975796,1.059341619885865,-1.0589011610712014,0.579628698495355,0.7208411833074009,0.639199540497355,8.312296705523556
Halmahera Utara,2020,33.572316448833256,0.8543190333352325,0.1395563970329628,-3.7714035480493666,0.529747153539778,0.5607273507733661,-2.9972699520055017,1.6976582679267864,0.649542145661245,-2.1862073315228314,1.5533916398132837,0.6168598584628793,6.633999432676011
Halmahera Utara,2021,34.384927317773716,0.4126194893445493,1.0498256281365574,-3.5588991163412262,-0.3891522241890197,0.727004385055389,-1.86770370127196,2.926300661988777,0.4272250439511728,-1.521769733200633,0.7425155332608239,0.6272005318856142,7.950664640090549
Halmahera Utara,2022,34.18406352157922,0.5141046679995194,1.2797546459167948,-2.982882072020147,-0.8892842614299824,0.23892203584270322,-1.108157266005089,3.2277815263306593,0.20597972276830612,-0.8029065953815229,0.40378752744403335,0.6181517914379437,8.627177660879546
Halmahera Utara,2023,33.407896504503036,0.9302663946451166,1.1542042637228263,-2.504183454149613,-1.1180021409543237,-0.6477336040152628,-0.5636678237310204,2.969885673545954,-0.3675935519645381,0.15279659570760334,0.4349581244383657,0.6195543594206558,9.0676918760879
Halmahera Utara,2024,32.44579474759831,1.1434465440316885,0.9737567933181333,-2.1251272763160647,-1.2714856539019102,-1.362578297356634,-0.13026898379996887,2.318032541812143,-1.1536841976620205,1.180937139821436,0.7227785713658625,0.6434516984857246,9.291718480585788
Halmahera Utara,2025,31.589281993741608,0.9294563665131317,0.37172738819122797,-2.0737189214770084,-0.9257712104319372,-1.0311517434479538,-0.6206628400027807,1.317807096285168,-1.155072435102399,0.7704198341697395,0.729154675946242,0.6417008225431314,8.500572703452733
Kepulauan Aru,2020,32.14029008404143,1.1582415106643944,-0.7138436914205482,-4.260064635964052,-0.27345897531756064,0.30009043809078606,-3.7520565306442286,-0.3669420651602313,0.9494478903174325,-1.7823900145151637,2.148286691194042,0.5533691982930691,9.68120227457886
Kepulauan Aru,2021,31.787301768920194,0.9145550820398773,-0.10457894465814982,-3.854434061640295,-1.5966773059310864,-0.09485554855679265,-2.328205473565458,-0.6801153583878401,0.9234834542711481,-1.2487409161958851,1.7528150412602224,0.5330528318860409,10.819606810842174
Kepulauan Aru,2022,31.39436403473195,0.5912561008470956,0.6862492085180818,-3.313982778718941,-2.9353730624431806,-0.6542376861270173,-0.3815042857614742,-0.9434396696061804,0.7707340678637631,-0.6456207032926038,1.205588493599236,0.5170552000286432,12.18826997813667
Kepulauan Aru,2023,31.28773834939156,0.3870639144905482,0.9765246203728812,-2.6113696503218553,-2.7335878859757017,-0.9029114185340446,0.632713531708861,-0.8369109465213547,0.3948133913745404,-0.3966861011187005,0.8758181394007565,0.5095513842071716,11.348325077415673
Kepulauan Aru,2024,31.10907382373886,0.3794708850689583,0.6107448427742366,-2.2483810523252448,-1.966482440262562,-0.656606402281056,-0.18338804997251995,-0.5126028740231532,0.1952360824426449,-0.3802275860988733,0.7166645697327836,0.5382277325738858,8.94304392746565
Kepulauan Aru,2025,31.045493635265196,0.40036791130990024,0.33956755955977913,-2.1490231755236735,-1.390216464731187,-0.5177631333577861,-0.6840945016006472,-0.3089823838370922,-0.02227419170200029,-0.37968777841196133,0.6420980570066299,0.5725246197573393,8.330209002380267
Kepulauan Sula,2020,33.272446588852105,1.776504622174389,-0.7060123864085638,-4.215886787937082,1.436849238572334,-0.17373629817720376,-3.9882743415136273,1.3787013451995196,1.083357868947348,-2.9663087130299295,2.0191290007864198,0.6307271809552846,7.051834429738675
Kepulauan Sula,2021,33.68342380300045,2.2227776452891423,-0.2297865850259931,-4.117065143448284,1.115653188981324,-0.9484072415079399,-3.1063593635584232,2.280727695639155,1.0397556971198214,-2.7927920351936586,1.4755040038421303,0.637161174426012,7.64277198050347
Kepulauan Sula,2022,34.22613320205657,2.96286934911863,0.5321819510611815,-3.7353542600081893,0.2770939313559501,-2.2247578720097545,-1.5232082423450428,3.7515381608006524,0.5860135223975202,-1.8454874272982775,0.4919463920436419,0.6469218140176405,8.879660653048317
Kepulauan Sula,2023,33.582422781609246,3.1305559641415366,0.5515693447512264,-2.895247876288088,-0.4891702144503492,-2.7301228558315564,-0.597661209736561,3.828120088295343,-0.5442234601886693,-0.174285871677068,0.0551002457251375,0.6480270446493634,10.039568912467985
Kepulauan Sula,2024,32.37912272568578,2.4159162033866335,0.02385607583213334,-2.4405192205361375,-0.5564646772569513,-2.0948913374652687,-0.7850534863790948,2.480381270543357,-1.2369732438654493,0.43620016257869465,0.22671845209179353,0.6401941825143763,9.92534144169473
Kepulauan Sula,2025,31.677935753066595,1.60797907513982,-0.3479569092852035,-2.3157570771514124,-0.32255339410474404,-1.2286832501416531,-1.248316680652687,1.4225233477564105,-1.120849979949006,0.05278974958176863,0.3327895049036498,0.6312914362257305,8.943379267249094
Kepulauan Tanimbar (Maluku Tenggara Barat),2020,32.414155890490214,1.35260327243456,-1.509619580542044,-4.880678713451942,0.05150436404211517,0.3169397850852802,-4.561028263463793,0.02607461321566551,1.2305186736563245,-2.188484918501801,2.3486497514726152,0.5805403435535761,10.345999976310111
Kepulauan Tanimbar (Maluku Tenggara Barat),2021,32.29923413455765,1.008588533538631,-1.4115606210492773,-4.701762746885259,-1.921780762277308,-0.08443284563441386,-3.1285785876527505,-0.15184399932855136,1.402446672295021,-1.5296434005383408,2.0322093090432074,0.5596453945794176,12.122089155100445
Kepulauan Tanimbar (Maluku Tenggara Barat),2022,32.28072743790688,0.5307730519739245,-1.0175650942023444,-4.061947929869227,-3.820734808540945,-0.6883654141377502,-0.8184219075142791,-0.37375845599952096,1.2524902780004354,-0.7469729229363655,1.484527519313212,0.530690119005542,12.787599763541769
