kab_kota,tahun,Intercept,X1_Produksi_Perikanan_Tangkap_Laut,X5_Persentase_Penduduk_Miskin,X8_PDRB_per_Kapita_ADHB,X12_Kepadatan_Penduduk,X13a_Jumlah_Pelabuhan_Utama,X13b_Kunjungan_Kapal_Tahunan,X13c_Jarak_ke_Pelabuhan_Induk,X17_TPT,X20_RT_Akses_Sanitasi_Layak,X27_Volume_Wacana_Digital,X9_Pangsa_Pengeluaran_Pangan,local_R2,local_condition_number
Halmahera Selatan,2022,34.90920693095126,2.1777125072959955,2.048296245036053,-3.621843793859632,-0.7332663983318927,-1.673289032638612,-0.03165128382230259,4.738542524078037,-0.7265987145437673,-0.8336816168079104,-0.26077126694688585,-0.36417392901416545,0.6705848708269881,12.284157656382222
Halmahera Selatan,2023,33.79825937462761,2.607895354234864,2.135794594830501,-2.4764126429803586,-1.5598744041011363,-2.962250740634978,1.2974200524652428,4.161699890038664,-2.3007657415737315,-1.0136557885152062,2.215632413658442,-0.10740820553884789,0.6831648849783258,13.965035198690362
Halmahera Selatan,2024,32.23150259091693,1.815390389091359,0.9101187183367041,-2.1546681714420783,-1.1236684832652086,-1.9828679757250707,0.13995786186926606,2.1393256302240147,-2.024276783394689,-0.5380245328272713,1.6365300606312372,0.3427887059839718,0.6601683516254875,12.69554145528038
Halmahera Selatan,2025,31.567196943678777,1.2558168867344812,0.39543951920490983,-2.040752546917701,-0.7768375890322718,-1.371399389581212,-0.47817795468128343,1.2615935172898503,-1.8265246976271414,-0.23082925247695144,1.2382151963425974,0.5136190334520345,0.680015894157401,12.041328616567895
Halmahera Tengah,2020,33.76221606427714,0.9910724590853356,0.2010835511984826,-4.109031793768797,0.9640079542154181,0.6035567657795429,-3.4604728918535437,1.762132121185655,0.5377359121414362,-0.12900067485795444,-2.2938596493467553,1.7878416421715153,0.6405527452913675,8.698065806807053
Halmahera Tengah,2021,34.49823457180199,0.7130932710151172,1.4063365972891462,-3.8521910898657303,-0.17914259609053876,0.3789693418576732,-1.6425237979502039,3.0221572157631775,-0.0006105571786813677,-0.5481104651452496,-1.3763776767768174,0.5819649001467886,0.6430414382716318,10.50855112388482
Halmahera Tengah,2022,34.85194786525017,2.12994131674672,2.56481981643564,-3.399978786538381,-0.9454473975552361,-1.870866476060648,0.48065101070246097,4.42382732467035,-1.3760791386683369,-1.309844930228378,0.22288325737826714,-0.7171144429212164,0.6567721148910355,12.215490891465546
Halmahera Tengah,2023,33.70701792622337,2.4207990466757248,2.597194137306754,-2.3126410392757104,-1.5129284920519037,-3.052877325612778,1.5897276675194516,3.690882622662967,-2.676749762725548,-1.4079791605744907,2.4929582953972447,-0.07508874316032976,0.6717380216486413,13.36137302487415
Halmahera Tengah,2024,32.5681413630106,1.4132430161389262,1.9729342916069852,-1.910453350080036,-1.6958874361919523,-2.2140190352163973,1.161131750388825,2.2914088464970166,-2.713088213013401,-1.0505797747362091,2.8339811944052786,0.46965492604861314,0.678931671981606,13.433544630213566
Halmahera Tengah,2025,31.65444914093712,0.8933838660100664,0.9630256154254462,-1.9237936612287272,-1.095186635576367,-1.3286566265153619,0.014879442251078068,1.1935883927733308,-2.0412530534708857,-0.5355617566180806,1.70899825283435,0.6029277454863393,0.680768565756156,11.986998272920797
Halmahera Timur,2020,33.92604455565578,0.7820589609631047,0.5374393479630671,-4.027151373683265,0.6384454745556782,0.6750391681430054,-2.972015248669316,1.9338207081575365,0.351997139490188,-0.27416081934879777,-2.057268645978056,1.491142435487393,0.6374675442355704,8.770969532865227
Halmahera Timur,2021,34.931459484902625,0.8633595456497566,2.0206714797881884,-3.8780220384186235,-0.44721005128419733,-0.014471280516117348,-0.9899791093605855,3.5007825366167546,-0.43511423295180773,-0.862346417269377,-0.9937838960576072,0.09550798369013963,0.6490375427690517,11.346453171135645
Halmahera Timur,2022,34.889300435293755,1.9909609359835163,2.7614510150006986,-3.277371726135647,-0.9874519565003557,-1.853806003191958,0.6078988716873355,4.281524943827136,-1.5372633247162937,-1.4386763028497336,0.3622534053582405,-0.7550039507761123,0.6513932030834383,12.335627162684661
Halmahera Timur,2023,33.757503002402736,2.248148143847226,2.72989194884183,-2.3010946153422345,-1.4281773488141347,-2.9324372951450233,1.5408414794989582,3.5209363960657356,-2.6685418979541864,-1.514105256314704,2.38307478540813,-0.11704509995778134,0.6638065541976661,13.26028321110747
Halmahera Timur,2024,32.80639325089935,1.6319428634477424,2.457924536883133,-1.8252041736067315,-1.8324431576725557,-2.7570885392717632,1.6787960291747877,2.4864636431564344,-3.1633043331042776,-1.3128110500526513,3.437159011307676,0.495270334979089,0.6880000702925244,14.163447032539471
Halmahera Timur,2025,31.778495290363548,0.8271673432247062,1.2423419250867997,-1.8816878420528755,-1.2403984044822258,-1.424067966615735,0.27962434605547615,1.2765219558235408,-2.194107580243169,-0.6869042806827301,1.9659400783279253,0.6158213136215922,0.6797816808232789,12.116939303063418
Halmahera Utara,2020,34.19023615911345,0.8299443056763272,0.8522847608749164,-4.004407248566577,0.44041060185933223,0.4434669614782635,-2.5186444783947906,2.2815163542894563,0.20539582281055938,-0.39159724617074,-1.897100190483205,1.2133692748462803,0.6393601098156174,9.269232338318904
Halmahera Utara,2021,35.164338037775316,0.9241802801513762,2.2556273175102,-3.7640058027737573,-0.5665543336702037,-0.2424454647912873,-0.6689492037098661,3.7525421129130607,-0.5740861713289535,-0.9631891856903618,-0.8065950197381082,-0.05719439293704166,0.6507183416139056,11.657292049633286
Halmahera Utara,2022,35.080250315367586,1.8886414342365663,2.9465192891800376,-3.2104211619478966,-0.9693996333001784,-1.9001724493593433,0.6984055589688648,4.348107889867887,-1.6075147147725735,-1.4861710242155215,0.41970824136037405,-0.7436413313283705,0.6521070628314836,12.509782632564113
Halmahera Utara,2023,33.96902034469896,2.1294570360658973,2.8459665393981273,-2.3326416928011215,-1.3297700501569665,-2.870137308376003,1.4716908006601952,3.5954175171620526,-2.595468210924938,-1.5452277665846719,2.212903071726388,-0.18218322873605386,0.659883764134741,13.29550150185234
Halmahera Utara,2024,33.068189828959085,1.7014000310611241,2.5377647894460673,-1.8831023375874687,-1.7220274205035038,-2.801874176789396,1.6269586593754726,2.725335341466601,-3.0381316430433563,-1.3366217387320591,3.208081885570498,0.3816717450030056,0.6792988128909961,13.998567421054961
Halmahera Utara,2025,32.02792723225102,1.0295687864081295,1.503263896135378,-1.8656745485630104,-1.3462718855678337,-1.7901542148641458,0.5855088503735844,1.5841993493653956,-2.426290079884648,-0.8266102520247777,2.2646003750355352,0.5746079010878995,0.6782272366708704,12.602961825495138
Kepulauan Aru,2020,31.73414921521023,1.0733449561481705,0.07513341386951533,-4.241445211680089,-0.7869540594758216,0.07848874117875272,-3.128586984807567,-0.8197728665520223,0.8346836546906763,-1.1739955864169254,-1.481106431317618,2.091363273498914,0.5785506291742939,12.917636143910821
Kepulauan Aru,2021,31.006711098236647,0.8037555129220312,0.7104371820373625,-3.2746257388558138,-2.6635020350743135,-0.3319264587616986,-2.013487951835649,-1.0085721738099749,1.1565870807860026,-2.0011580932838804,-0.8519949228678407,1.6538983150060793,0.5731206234305695,14.37107063193076
Kepulauan Aru,2022,31.1721785959059,0.5571884882339587,0.7117633592310162,-2.990547984492996,-3.336529102364153,-0.6538875505647828,-0.6308608378982079,-0.917967448728944,0.9847670141567444,-1.7199398091924079,-0.5568263717867893,1.225575182982681,0.530912963125638,15.10148298776672
Kepulauan Aru,2023,31.56453822440971,0.23309822316620044,0.9597620919733783,-2.7959307355553262,-3.148595130529367,-1.0708657151099374,1.4237180885149137,-0.844728451554495,0.3036716798237509,-0.551542465323541,-0.29268570777655034,0.8201992720582878,0.4990729426639221,15.361902017887385
Kepulauan Aru,2024,31.30039095582266,0.07566487877791572,0.9533134531964129,-2.223554798542631,-2.527025804924366,-0.8351241870776587,0.9639585010268341,-0.6231947767140587,0.04472003687982262,-0.0523370829344203,-0.1893223496019505,0.46610401077131636,0.5217233270735324,12.114993002567665
Kepulauan Aru,2025,31.013553281848328,0.14705096335266016,0.47598988023187694,-2.105147502987261,-1.8701081639240393,-0.4363675192136296,-0.4075692857213267,-0.3541033337198183,-0.028189973301151916,0.12485681177520802,-0.2268232474199915,0.32244035000484583,0.5759907311004708,9.15240792018737
Kepulauan Sula,2020,33.687071751457076,1.9395675661080174,-0.8381605527279269,-4.628258587311695,1.9044064891748387,-0.07151080489373074,-4.859819946887262,1.8718317013534944,1.4741601380383698,0.5287092304042622,-3.378152190756014,2.4016509739681355,0.6679165177054711,9.637109660730575
