kab_kota,Intercept,X1_Produksi_Perikanan_Tangkap_Laut,X5_Persentase_Penduduk_Miskin,X8_PDRB_per_Kapita_ADHB,X12_Kepadatan_Penduduk,X13a_Jumlah_Pelabuhan_Utama,X13b_Kunjungan_Kapal_Tahunan,X13c_Jarak_ke_Pelabuhan_Induk,X17_TPT,X20_RT_Akses_Sanitasi_Layak,X27_Volume_Wacana_Digital,X9_Pangsa_Pengeluaran_Pangan,Intercept_tval_signif,X1_Produksi_Perikanan_Tangkap_Laut_tval_signif,X5_Persentase_Penduduk_Miskin_tval_signif,X8_PDRB_per_Kapita_ADHB_tval_signif,X12_Kepadatan_Penduduk_tval_signif,X13a_Jumlah_Pelabuhan_Utama_tval_signif,X13b_Kunjungan_Kapal_Tahunan_tval_signif,X13c_Jarak_ke_Pelabuhan_Induk_tval_signif,X17_TPT_tval_signif,X20_RT_Akses_Sanitasi_Layak_tval_signif,X27_Volume_Wacana_Digital_tval_signif,X9_Pangsa_Pengeluaran_Pangan_tval_signif,X1_Produksi_Perikanan_Tangkap_Laut_localVIF,X5_Persentase_Penduduk_Miskin_localVIF,X8_PDRB_per_Kapita_ADHB_localVIF,X12_Kepadatan_Penduduk_localVIF,X13a_Jumlah_Pelabuhan_Utama_localVIF,X13b_Kunjungan_Kapal_Tahunan_localVIF,X13c_Jarak_ke_Pelabuhan_Induk_localVIF,X17_TPT_localVIF,X20_RT_Akses_Sanitasi_Layak_localVIF,X27_Volume_Wacana_Digital_localVIF,X9_Pangsa_Pengeluaran_Pangan_localVIF,local_R2,local_condition_number
Kota Ambon,30.555635115077397,3.4180526741589063,-2.9265941765592722,-3.866286924794438,3.3829154451639707,-0.43305509413045823,-7.828510874657645,3.946798450969132,-1.8532404984536253,3.7026775849293205,-1.9584545251535599,-0.9502929275187475,18.11887828722891,0.0,0.0,-3.3879641663898092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01815355436543,37.57465599986074,2.2087434105899906,154.4018499392249,54.27913536194227,67.46145199565055,3.387122195830257,62.679884376987225,11.976234796009926,244.33734596803822,12.889613328495408,0.9909625257598803,215.12255285845018
Kota Ternate,31.90406344519634,3.6920045795213223,4.539225067977565,-2.073679364768227,0.9841734394137188,-7.9522882253881555,3.3046551387796743,0.9927792699367219,-7.456086075273799,-2.1284829662781473,5.488363486860748,1.5004241832958967,19.57809350638083,0.0,0.0,0.0,0.0,-2.3267139790557048,0.0,0.0,0.0,0.0,0.0,0.0,5.943113038297444,5.251898302492343,6.328062769515173,36.15337262390623,13.990957924170074,63.58467034183575,2.3225924469945887,13.267914921490961,17.00758119427322,23.586983401524858,14.983790230981766,0.9738623884692648,38.53116385761312
Kota Tidore Kepulauan,32.082414410788665,3.9823989647258067,4.83428641097245,-2.0374776271144297,1.0533364005484511,-8.289386993781758,3.562607465209334,1.0771661747188734,-8.03516309136837,-2.5027343608833585,6.106998009180286,1.3457070332279195,19.47717671176993,0.0,0.0,0.0,0.0,-2.386120039231071,0.0,0.0,0.0,0.0,0.0,0.0,6.66166389572596,6.001919597472502,7.612024706518422,37.718510138029906,16.668613490266317,68.16743668196041,2.4053087657090817,15.04328538582605,19.851472979764694,25.384046509664856,18.76576858766078,0.9724179882211814,46.076078919581114
Kota Tual,32.452629120913265,-0.9975297566905325,-1.7472271951659357,-1.8460194711227242,-4.872002031272542,-2.9895253261328,8.516597783150475,0.2901799442035654,-0.4585620188820529,14.18836612094798,0.9585203517428162,3.234809012430041,13.397200482896807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2542373615253593,64.21710570591996,1.504086459582271,27.203878535452848,23.57449969076578,41.93833949073565,7.368239198525212,5.931257902221566,10.5016035172804,14.592159010864785,50.83342941158251,0.9787121153005669,107.26165723392288
Maluku Barat Daya,28.56316656726658,-0.03690117010041985,0.015076360986426115,-20.90034555442623,-0.6831281012034854,-1.9316656175826128,4.725660434931542,0.7136215874221354,-1.5364920274033458,0.47115880317689496,-0.07687086564343709,0.9858742564146448,14.228107138443079,0.0,0.0,-2.183155023192539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.117254174522655,39.805232363649786,3.0042041167184044,35.12324633023621,16.22804249235309,33.526212293452325,5.5859717344370745,16.773810177734234,5.8577047478782225,15.08581504523006,14.336646182983582,0.9857243721574368,43.86613755819663
Maluku Tengah,29.608972744753235,4.108314318235607,-3.1983544378582556,-4.204812888466742,5.141494951079284,-0.34571335515107343,-8.715904010835981,2.402333284793434,-2.50231605136989,3.316104334721877,-3.4833918104119364,-1.6972455653288396,19.88051747857784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.17973847281957,21.01613317489772,10.772699899650178,224.0386925363961,158.18948262611949,31.360466030600534,2.497323936133995,50.35515864509537,20.976797342450404,269.22147242764703,112.0890263923561,0.9910117666966927,348.0803468120941
Maluku Tenggara,32.77282639322145,-1.0925920703905336,-2.7792921531660246,-1.6504403160382508,-5.520079917796393,-3.397192158818986,9.666166531113534,0.4817451666039372,-0.4157522843504488,17.29668962659078,1.2937320198695603,4.215764252896573,12.556936103699792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3532816445886073,82.34386874997652,1.5438178891687373,33.131413583643706,27.33759347327715,44.97011365227967,9.016709150959086,6.078046046730715,13.218273729038987,18.730309256981947,68.11530065802089,0.9774329954725229,130.9352551475702
Pulau Morotai,31.80814026797086,6.533781238905072,4.25726514603384,-0.5297430880330815,-0.12287819732307781,-13.62348060248407,6.833051703921119,1.2345856826304697,-7.943915149674587,-2.456608235932977,11.962592199820833,5.490996695814433,19.120316922879216,0.0,0.0,0.0,0.0,-2.9927034743911465,0.0,0.0,0.0,0.0,0.0,0.0,14.016519210492085,16.24309373284109,30.001329942336707,62.475325499426184,62.97159665825389,103.28933751776111,4.116761517341105,46.332338415491115,112.51245190536348,80.49345044135201,135.92411519863956,0.9694764434907647,332.67615829284483
Pulau Taliabu,34.07767391059283,-1.5231301899878913,6.849293713630215,-0.9169887330640629,-6.917324254133077,-3.939253965898576,7.70927982570702,4.32479411054967,-5.07015967983443,-1.1975936579713558,9.834883326967379,1.267576536329961,10.21331991890963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.94038130132951,89.17205768475304,27.100937007039978,405.3630826974017,9.549762869529218,550.5911056202829,13.227697850272133,43.62866069744352,36.490230523967234,466.0537044834834,35.20224190511005,0.9837810596411463,152.26681039619132
Seram Bagian Barat,30.24536577813176,6.544588561568976,-4.495570267143539,-5.122696353076241,8.774596225312743,-1.239037473879656,-11.09548553811021,3.732060684449637,-1.3703357560917742,3.3259245863800064,-7.588469251680386,-2.7508527193135905,16.074926123653473,0.0,0.0,-2.265039482038284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.33602345093554,51.238953829617046,6.503393238332761,240.2537809644672,93.82202882536326,115.45053987648726,2.7889303721649155,98.72921790149476,21.77833508216036,412.3542892984178,34.916601558245695,0.990046636134881,141.4707621092202
