Provinsi,Kab/Kota,Tahun,Y_PoU,X1_Perikanan,X2_Padi,X4_NTP,X5_PendudukMiskin,X6_GarisKemiskinan,X7_Gini,X8_PDRB,X9_PangsaPangan,X10_PengeluaranPangan,X11_JalanMantap,X12_Kepadatan,X13a_Pelabuhan,X13b_KunjunganKapal,X13c_JarakPelabuhan,X14_TPAK,X15_RLS,X16_NonAK,X17_TPT,X18_TKPertanian,X19_AirMinum,X20_Sanitasi,X21_Stunting,X22_UHH,X23_IPM,X24_Sinyal4G5G,is_variabel_provinsi,flag_definisi_lama_air,X13_IKM,Rasio_Perikanan_per_Kepadatan
Maluku Utara,Halmahera Utara,2022,28.38,40286.0,6893.28,106.44,4.58,301041,234.0,32.069,54.52,5.754,51.33,52.0,1,4235,130,66.88,8.63,33.12,6.06,26.81,84.85,64.93,26.1,69.88,68.38,63.26333333333333,False,0,0.0788295081592248,774.7307692307693
Maluku Utara,Halmahera Utara,2023,31.22,44442.335,4235.33,103.37,4.62,378968,248.0,32.904,52.05,615.0,51.33,60.0,1,4871,130,69.86,8.65,30.14,6.53,26.5,89.75,69.58,26.1,70.11,69.05,73.29666666666667,False,0,0.09125230948987896,740.7055833333333
Maluku Utara,Halmahera Utara,2024,29.24,20366.757,7631.91,103.42,4.71,425857,259.0,34.521,50.63,6.646,51.33,61.0,1,5220,130,70.83,8.67,29.42,6.2,25.62,89.75,69.58,26.1,70.35,69.78,83.33,False,0,0.09806922405654295,333.88126229508197
Maluku Utara,Halmahera Utara,2025,25.35,20366.757,4642.0,106.05,4.35,490223,259.0,37.306,49.3,7.118,70.663,62.0,1,5475,130,71.3,8.84,28.7,6.7,24.06,89.75,69.58,26.1,70.35,71.25,97.47,False,0,0.10305006421270145,328.4960806451613
Maluku,Kepulauan Aru,2020,40.42,91002.0,0.0,96.77,26.26,490565,316.0,34.361,51.21,4.389,14.38,12.54,1,1287,760,69.4,8.82,30.6,3.83,33.97,93.21,75.06,35.8,69.58,66.88,54.31,False,1,0.015714394410790748,7256.937799043063
Maluku,Kepulauan Aru,2021,31.1,121851.0,0.0,101.14,26.53,516604,322.0,35.36,52.25,5.094,14.38,12.62,1,1133,760,65.81,8.83,34.19,1.55,32.64,93.21,76.77,35.8,69.67,66.99,61.06,False,0,0.012706357610600905,9655.388272583203
Maluku,Kepulauan Aru,2022,33.74,78409.0,0.0,104.85,23.51,562416,245.0,38.309,53.58,5.013,14.38,12.74,1,978,760,63.03,8.87,36.97,2.1,33.54,92.1,76.47,28.1,69.99,67.36,71.8,False,0,0.009678788103916328,6154.552590266876
Maluku,Kepulauan Aru,2023,31.68,68829.444,0.0,104.41,24.21,626086,315.0,41.319,51.65,5.673,14.38,13.17,1,861,760,59.62,8.97,40.38,1.96,31.6,92.98,78.17,40.6,70.27,68.19,82.54,False,0,0.0073934614440318396,5226.229612756265
Maluku,Kepulauan Aru,2024,33.39,53075.792,0.0,102.34,23.39,644112,292.0,43.62,53.24,5.457,14.38,13.39,1,553,760,61.86,9.21,39.370000000000005,1.83,31.77,93.32,80.51,37.6,70.4,69.0,93.28,False,0,0.001377387843652154,3963.8380881254666
Maluku,Kepulauan Aru,2025,33.31,53075.792,0.0,98.79,23.1,673363,306.0,46.189,54.21,5.641,9.87,13.61,1,536,760,61.64,9.46,38.36,2.1,36.17,92.83,83.09,37.6,70.6,69.73,100.0,False,0,0.0010453318332415886,3899.764290962528
Maluku Utara,Kepulauan Sula,2020,43.47,31129.0,72.84,96.52,8.35,372561,297.0,24.156,53.92,444.0,8.349,32.0,1,1621,490,59.44,8.95,40.56,4.9,33.97,49.69,77.49,30.5,63.3,63.53,46.05,False,1,0.022867400319030062,972.78125
Maluku Utara,Kepulauan Sula,2021,42.17,25907.0,51.27,102.43,8.23,391912,244.0,24.678,52.9,4.045,8.349,32.0,1,1843,490,63.76,9.0,36.24,2.78,29.04,84.53,81.31,30.5,63.39,63.8,49.32,False,0,0.027203661160862168,809.59375
Maluku Utara,Kepulauan Sula,2022,42.37,28012.0,16.63,106.44,7.64,414512,282.0,26.88,53.3,455.0,8.349,32.0,1,1976,490,58.29,9.02,41.71,2.1,26.81,90.35,82.09,28.5,63.68,64.7,59.96333333333333,False,0,0.029801511124662484,875.375
Maluku Utara,Kepulauan Sula,2023,44.37,26218.327,13.38,103.37,8.17,453476,0.27,28.33,55.17,5.017,8.349,33.0,1,2273,490,62.38,9.04,37.62,2.67,26.5,85.36,82.58,18.8,63.94,65.29,70.60666666666667,False,0,0.035602724953600035,794.4947575757576
Maluku Utara,Kepulauan Sula,2024,35.11,24597.581,171.13,103.42,7.96,485242,261.0,30.966,50.9,4.993,8.349,33.0,1,2436,490,63.88,9.17,36.675,2.57,25.62,85.36,82.58,18.8,64.22,65.99,81.25,False,0,0.03878655611224253,745.3812424242424
Maluku Utara,Kepulauan Sula,2025,37.36,24597.581,77.0,106.05,7.65,529754,261.0,32.723,53.79,5.087,10.077,33.0,1,2555,490,64.27,9.2,35.73,3.11,24.06,85.36,82.58,18.8,64.22,68.89,61.25,False,0,0.04111094818511649,745.3812424242424
