Topic,Words,Frequency,Timestamp,Name
63,"inflasi, pengendalian inflasi, pengendalian, inflasi pangan, gerakan nasional",8,2022-09-10 04:57:06.200,Pengendalian Inflasi Pangan
67,"kaum, bulan, bulan melanda, dibawah merasakan, news terjadi",1,2022-09-10 04:57:06.200,Diskusi Sosial Masyarakat
76,"bendungan, nasional dilakukan, melalui pembangunan, dilakukan kementerian, mencapai ketahanan",1,2022-09-10 04:57:06.200,Pembangunan Bendungan
78,"daerah tanah, antaranya sumatra, sumatra utara, pengembangan lumbung, tengah nusa",1,2022-09-10 04:57:06.200,Ketahanan Pangan Kawasan Timur Indonesia
83,"peternak, bertemu, peternak kerbau, hingga bertemu, bertemu peternak",9,2022-09-10 04:57:06.200,Kunjungan Presiden ke Maluku
-1,"duta, sagu, pokok, kebetulan, kementerian agama",4,2022-12-20 04:35:52.900,-1_maluku_provinsi maluku_provinsi_bahan
0,"yaaaa pake, harga yaaaa, zonasi, zonasi spt, beras mulai",2,2022-12-20 04:35:52.900,Kenaikan Harga Beras dan Pangan
2,"kota, ambon, ekonomi, kota ambon, dinas",2,2022-12-20 04:35:52.900,Ketahanan Pangan Provinsi Maluku
3,"prof muhadjir, effendy mendorong, meningkatkan konsumsi, segar utamanya, utamanya anak",1,2022-12-20 04:35:52.900,Sekolah Rakyat dan Anak
7,"tni, hati liat, liat tni, tni tni, perhatikan banyak",1,2022-12-20 04:35:52.900,Kemiskinan dan Kerawanan Pangan
12,"terpenuhi salah, beras beras, indonesia terpenuhi, ktahanan, impor berkurang",1,2022-12-20 04:35:52.900,Impor Beras Nasional
18,"maluku tengah, tengah, luhkan, gemarikan rangka, safari",5,2022-12-20 04:35:52.900,Kegiatan Gizi di Maluku Tengah
26,"stunting, penurunan, pkk, angka, mengintervensi",4,2022-12-20 04:35:52.900,Program Penurunan Stunting
29,"percepatan penurunan, penurunan, penurunan stunting, stunting, percepatan",4,2022-12-20 04:35:52.900,Stunting di Maluku Utara
32,"katanya, swasembada, cuma, rakusnya, import krn",2,2022-12-20 04:35:52.900,Swasembada Pangan
35,"pangan lokal, lokal, daya daerah, komoditas pertanian, daerah mengantisipasi",1,2022-12-20 04:35:52.900,Pangan Lokal Maluku
38,"cukupin, panen, apa, negri, sluruh negri",1,2022-12-20 04:35:52.900,Komentar Umum
40,"triliun kemenkeu, uang triliun, buat subsidi, kemenkeu, kemenkeu pakai",1,2022-12-20 04:35:52.900,Kritik Penggunaan Pajak untuk MBG
44,"food estate, estate, food, sby, nikel",2,2022-12-20 04:35:52.900,Food Estate dan Ketahanan Pangan
79,"ganjar, venna, family putus, venna melinda, putus",1,2022-12-20 04:35:52.900,Ganjar dan Aktivitas Politik
-1,"kesehatan, layanan kesehatan, besar fakultas, kosong zainal, cuma pepesan",7,2023-03-31 04:14:39.600,-1_maluku_provinsi maluku_provinsi_bahan
0,"bupati, bupati sula, sula, harga, pedagang",6,2023-03-31 04:14:39.600,Kenaikan Harga Beras dan Pangan
2,"dinas, dinas ketahanan, pangan provinsi, pangan, provinsi maluku",24,2023-03-31 04:14:39.600,Ketahanan Pangan Provinsi Maluku
11,"solusi terbaik, allah menggantikannya, terbaik dlm, dikeluarkan masyarakat, dlm membantu",1,2023-03-31 04:14:39.600,Doa dan Harapan Masyarakat
13,"penanganan pangan, islam terbaik, terbaik penanganan, pangan rakyat, sistem islam",1,2023-03-31 04:14:39.600,Kritik Pajak dan Kebijakan Pemerintah
18,"maluku tengah, tengah, leihitu, stunting, luhkan",3,2023-03-31 04:14:39.600,Kegiatan Gizi di Maluku Tengah
20,"hidroponik, hidroponik menunjang, hidroponik maluku, kostrad inisiasi, inisiasi",1,2023-03-31 04:14:39.600,Ketahanan Pangan oleh TNI
26,"stunting, kemiskinan, timur menjadi, indonesia bagian, hari pattimura",4,2023-03-31 04:14:39.600,Program Penurunan Stunting
28,"murah provinsi, gerakan pangan, pangan murah, gerakan, murah",1,2023-03-31 04:14:39.600,Gerakan Pangan Murah
29,"kemiskinan ekstrem, stunting, ekstrem, maluku utara, indonesia bebas",3,2023-03-31 04:14:39.600,Stunting di Maluku Utara
33,"pedalaman halmahera, pedalaman, halmahera timur, halmahera, hari bhayangkara",1,2023-03-31 04:14:39.600,Pemerintah Provinsi Maluku Utara
35,"diwujudkan sistem, mampu diwujudkan, pangan mampu, sistem islam, diwujudkan",1,2023-03-31 04:14:39.600,Pangan Lokal Maluku
44,"mangkraknya, food, estate, food estate, sawit",2,2023-03-31 04:14:39.600,Food Estate dan Ketahanan Pangan
46,"jadi, dibabar tanah, tetap jadi, dicaplok, dulu makan",2,2023-03-31 04:14:39.600,Produksi Beras Nasional
47,"pil, sebaik jadikan, sebaik, jadikan pil, jadikan",1,2023-03-31 04:14:39.600,Kritik Makanan Bergizi Gratis
49,"ibu, dpr, tindak kdrt, menghadiri deklarasi, caleg",1,2023-03-31 04:14:39.600,Komentar tentang Ibu dan Sekolah
56,"dibelikan, instan, kata, ikannya dijual, ikan ikannya",5,2023-03-31 04:14:39.600,Konsumsi Ikan dan Gizi
63,"nasional pasar, pasar murah, bantuan pangan, inflasi, pengendalian",1,2023-03-31 04:14:39.600,Pengendalian Inflasi Pangan
-1,"skor, provinsi, agustus, skor maluku, skor papua",5,2023-07-10 03:53:26.300,-1_maluku_provinsi maluku_provinsi_bahan
0,"bbm satu, satu harga, kapal, maluku maluku, bawa",1,2023-07-10 03:53:26.300,Kenaikan Harga Beras dan Pangan
2,"dinas ketahanan, dinas, pangan provinsi, provinsi maluku, provinsi",13,2023-07-10 03:53:26.300,Ketahanan Pangan Provinsi Maluku
9,"penerima bantuan, tual merupakan, oktober november, merupakan bantuan, tahap kedua",1,2023-07-10 03:53:26.300,Bantuan Sosial Presiden
13,"rakyat, indonesia triliun, hadapi krisis, kecil sulawesi, ahli proyek",1,2023-07-10 03:53:26.300,Kritik Pajak dan Kebijakan Pemerintah
20,"barantin maluku, barantin, upt barantin, upt, badan",2,2023-07-10 03:53:26.300,Ketahanan Pangan oleh TNI
23,"hari, jakarta hari, kualitas udara, jakara berada, berada diurutan",1,2023-07-10 03:53:26.300,Variasi Menu Harian MBG
28,"disketapang maluku, disketapang, gerakan pangan, pangan murah, murah",2,2023-07-10 03:53:26.300,Gerakan Pangan Murah
29,"kejati maluku, kejati, stunting, dana, maluku utara",2,2023-07-10 03:53:26.300,Stunting di Maluku Utara
44,"food estate, estate, food, pertahanan, menteri pertahanan",2,2023-07-10 03:53:26.300,Food Estate dan Ketahanan Pangan
62,"air bersih, bersih, air, maluku barat, barat daya",10,2023-07-10 03:53:26.300,Program Air Bersih Maluku Barat Daya
63,"inflasi, pengendalian, pengendalian inflasi, bank indonesia, inflasi pangan",2,2023-07-10 03:53:26.300,Pengendalian Inflasi Pangan
71,"nino kabupaten, kordinasi mitigasi, mitigasi, kordinasi, padi",3,2023-07-10 03:53:26.300,Musim Kemarau dan Ketahanan Pangan
78,"sumbar bapanas, beras tertinggi, didominasi wilayah, perhatikan harga, oktober didominasi",1,2023-07-10 03:53:26.300,Ketahanan Pangan Kawasan Timur Indonesia
-1,"padi, terjangkau cuman, era sby, digalakkan program, timurnya",1,2023-10-19 03:32:13.000,-1_maluku_provinsi maluku_provinsi_bahan
0,"harga, nino, beras, harga beras, harga tingginya",4,2023-10-19 03:32:13.000,Kenaikan Harga Beras dan Pangan
